RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,State,density,population,Area
9,0,California,state,CA,186612,187239,188086,189925,192062,194367,196802,199345,201893,204310,206689,209019,210989,212937,215130,217857,220589,223071,225395,227634,229807,231839,233748,235533,236975,238449,240175,242504,245223,248240,251730,255487,259283,262885,266414,269894,272969,275836,278873,282403,286323,289949,293777,297809,302288,306650,310854,314919,319128,323868,329274,335480,342627,350602,358755,366537,373906,380984,387206,393218,398568,404366,410462,417335,424020,430203,436117,442117,448145,454061,458861,463109,466649,469797,472796,475488,478163,480014,480701,480707,479677,478503,477251,476165,475269,474217,472713,470785,467777,464313,459879,455256,450060,444608,439127,433252,427402,420496,412247,402578,392286,382290,372167,362422,353418,345632,338084,330842,324072,319142,315058,311221,307503,304254,301844,299830,298252,297411,298240,300136,302062,302867,303895,305175,306585,306520,305390,303458,301487,299373,297500,296166,295128,294133,292667,291106,288762,286875,285232,283440,281301,279017,277889,277154,276775,276225,275606,275183,275375,276464,278042,280538,283908,288209,292919,297931,302679,306881,310491,314740,320544,327568,334603,341333,347928,354441,359905,364306,367491,370124,372519,375440,378557,381124,382811,384291,386734,389833,393306,396512,399363,401773,403745,405654,407812,410024,411767,412935,413934,415166,416194,417131,420237,425463,431398,435883,438858,441487,442449,442146,440693,440363,441411,443941,448728,455026,461867,467454,471550,475061,476770,478247,479802,483185,486935,491343,496321,501810,506815,510931,514696,517762,520551,523542,526918,530509,533048,534535,534071,532476,530668,529631,529010,528627,529029,530713,533286,536319,539621,543044,545839,548087,550253,552253,552505,551309,551154,554372,561517,570690,581373,592028,600876,608446,615304,624282,635032,646575,657007,664225,669119,673488,679249,686351,696256,708966,724292,738229,748734,754320,754625,750020,742655,736025,730815,726349,719401,712257,707002,706424,709372,714535,721494,729369,736894,743013,747392,750180,750708,California,250,"38,889,770","163,696"
54,1,Texas,state,TX,109744,109804,109833,109976,110069,110173,110242,110445,110710,110995,111324,111689,111907,111874,111656,111528,111571,111701,111854,111991,112135,112286,112396,112486,112516,112600,112812,113183,113621,114111,114609,115136,115600,115998,116337,116626,116848,116994,117159,117353,117573,117795,118013,118267,118498,118732,118902,119045,119404,120212,121491,122760,123808,124481,125110,125683,126329,126930,127468,127938,128438,128860,129235,129566,129925,130319,130667,130992,131318,131583,131892,132143,132350,132558,132811,133216,133771,134387,135000,135545,136124,136840,137526,138206,138565,138706,138688,138903,139296,139807,140263,140748,141225,141665,142031,142369,142233,141838,141256,140951,140732,140536,140374,140028,139528,138933,138349,137809,137318,137060,136955,136938,136938,136914,136925,136810,136659,136458,136501,136624,136684,136670,136695,136867,137066,137111,136868,136399,135843,135284,134703,134199,133761,133301,132848,132409,132062,131709,131512,131397,131356,131245,131038,130796,130685,130837,131109,131382,131686,132115,132602,132965,133276,133587,133945,134304,134806,135444,136200,136917,137736,138714,139652,140561,141270,142080,142821,143652,144629,145731,146844,147810,148789,149784,150916,151934,152832,153468,154273,155214,156391,157612,158805,159921,160990,162054,163160,164314,165491,166677,167722,168805,169965,171174,172067,172915,173735,174711,175525,176317,177222,178220,179342,180421,181483,182431,183441,184560,185568,186476,187178,187923,188680,189582,190576,191679,192773,193768,194934,196024,197162,198026,199014,199902,200779,201447,202205,203048,203884,204620,205256,205794,206278,206746,207244,207840,208491,209364,210396,211521,212662,213767,214844,215620,215898,216064,216712,218121,220249,222650,225388,228041,230826,233792,237151,240878,245144,249708,253895,257087,259420,261840,264974,268576,273315,278615,284608,290423,295767,300433,303269,304160,303503,302564,301574,300302,298624,297027,295962,295594,295912,296736,297478,298054,298092,297863,297378,296778,296581,Texas,119,"30,976,754","268,596"
14,2,Florida,state,FL,105138,105366,105642,106203,106808,107426,108046,108678,109333,110002,110696,111413,112068,112719,113399,114203,115084,116003,116991,118038,119124,120212,121256,122280,123205,124060,124896,125837,126869,127948,129047,130221,131383,132543,133645,134839,136016,137226,138466,139849,141308,142757,144191,145657,147179,148722,150234,151682,153069,154444,155949,157666,159676,161956,164488,167278,170110,172831,175383,177983,180654,183509,186711,190484,194695,199259,204130,209165,214099,218644,222845,226782,230421,233797,237306,241212,244958,248095,250247,251660,252252,252225,251847,251091,250134,249100,247912,246540,244754,242521,239831,236858,233815,230702,227448,224147,220561,217021,213241,209560,205606,201760,197828,193740,189582,185377,181242,177289,173571,170267,167161,164068,161076,158230,155795,153552,151497,149760,148601,147720,147042,146452,146050,145699,145244,144557,143606,142418,141121,139765,138391,137082,135774,134533,133266,132041,130816,129710,128690,127887,127284,126939,126762,126681,126709,126828,127019,127374,127833,128456,129081,129636,130227,130959,131997,133379,134961,136575,138222,139919,141833,143708,145509,147229,148900,150665,152224,153814,155327,156958,158488,159851,161194,162308,163455,164431,165446,166297,167361,168623,170001,171208,172274,173345,174558,175801,177219,178720,180353,182059,183704,185232,186640,187974,189201,190501,191787,193161,194368,195618,197023,198585,200015,201201,202241,203404,204762,206204,207468,208771,210009,211407,212760,214212,215706,217270,218662,219883,221113,222331,223594,224658,226038,227385,228754,229880,231076,232368,233534,234581,235289,235800,236074,236472,236987,237688,238386,239310,240575,242133,244021,245799,247362,248312,248574,248706,249267,250815,253297,256234,259682,263110,266657,270191,273968,278167,283250,289472,295843,301512,306105,310627,315686,321155,328019,336004,345428,355339,364837,373280,379009,381908,382279,381805,381112,380281,378958,377838,377382,377819,378854,380499,382172,383829,384982,386027,386943,387760,388454,Florida,428,"22,975,931","65,758"
43,3,New York,state,NY,150398,150934,151449,152558,153706,154946,156061,157037,157905,158835,159974,161224,162423,163421,164321,165261,166299,167445,168648,169910,171145,172445,173805,175250,176676,177971,179069,180152,181306,182646,184085,185693,187349,189000,190604,192265,193888,195467,197151,198811,200510,202195,203962,205968,208140,210376,212331,214084,215791,217409,218764,220112,221698,223654,225855,228118,230502,232843,235216,237484,239646,241753,243691,245736,247908,250152,252514,254983,257575,260212,262597,264973,267049,268949,270518,271880,273167,274496,275740,276853,277572,278100,278406,278731,279001,279222,279515,279635,279864,279899,279955,280032,280038,280242,280446,280557,280626,280489,280332,279976,279380,278566,277488,276321,275018,273451,271736,270092,268571,267262,266102,265114,264205,263219,262197,261094,260164,259445,258986,258677,258452,258434,258512,258902,259318,259876,260232,260146,259607,258632,257612,256578,255849,255289,254945,254483,253987,253247,252524,251818,251173,250532,249833,249242,248722,248516,248704,249097,249587,249946,250279,250290,250317,250156,250141,250116,250516,251182,251967,252708,253547,254712,255873,256916,257670,258470,259133,259581,259966,260493,261462,262588,263928,264852,265613,266065,266672,267142,267789,268340,268754,268997,269245,269693,270500,271383,272483,273802,275547,277434,278976,280226,281110,281801,282114,282672,283530,284859,285952,286735,287337,288175,289470,291258,292897,294628,296155,298213,299871,301326,302400,303729,305078,306764,308132,309658,311037,312141,313580,315188,317529,319641,322026,324351,326737,328318,329442,330101,331174,332685,334322,335700,336487,337448,338428,339599,340240,340962,342405,344239,346501,348225,349812,351130,352277,352897,353073,353475,355505,358831,363227,368076,372666,377456,381932,386090,390247,394141,397580,399677,400714,402212,404464,407125,410260,414061,419134,424325,429063,433596,436653,437569,436018,434210,432671,431106,429469,428108,428201,429676,432090,434928,437937,440995,443590,445429,446965,448648,450431,New York,413,"19,469,232","54,555"
47,4,Pennsylvania,state,PA,95957,96163,96355,96749,97152,97567,98008,98429,98857,99268,99722,100191,100654,101077,101503,101960,102397,102842,103321,103849,104383,104873,105371,105843,106312,106776,107260,107793,108376,109017,109734,110544,111384,112207,112916,113589,114235,114884,115504,116160,116963,117933,118998,120025,121033,121986,122850,123619,124301,125087,125876,126754,127786,129005,130435,131833,133229,134444,135674,136876,138113,139117,140078,141124,142383,143839,145398,147031,148565,149964,151248,152453,153522,154454,155329,156255,157291,158425,159475,160325,160918,161379,161747,162058,162373,162749,163221,163656,164075,164394,164737,164984,165108,165189,165293,165375,165332,165302,165237,165192,164992,164673,164106,163368,162589,161913,161277,160591,159891,159432,159205,159068,158830,158504,158147,157727,157330,157060,157005,157090,157332,157671,158141,158598,158897,158950,158708,158248,157563,156753,155863,155024,154294,153702,153251,152769,152212,151500,150789,150199,149776,149429,149081,148743,148448,148383,148697,149160,149602,149780,149854,149734,149615,149440,149311,149226,149221,149241,149468,149892,150519,151048,151204,151259,151190,151402,151554,151761,151897,151993,152088,152326,152761,153221,153700,153935,153957,153635,153433,153415,153492,153543,153729,154139,154716,155232,155845,156550,157240,157761,158025,158375,158851,159339,159379,159372,159565,160056,160440,160826,161312,161930,162496,163135,163694,164189,164568,165009,165471,165955,166463,167020,167643,168400,169299,170200,171005,171708,172681,173605,174339,174702,175081,175517,175933,176175,176447,176813,177464,178444,179474,180307,180853,181450,182123,182829,183470,184277,185305,186420,187521,188674,189912,191270,192093,192434,192730,193721,195830,198479,201648,204631,207378,210059,212850,215712,218587,221600,223787,224636,223899,223311,223416,224360,226645,229997,234191,237992,240929,243222,244104,243898,242957,242664,242859,243064,242885,242503,242654,243454,244956,246738,248471,250132,251428,252305,252832,253264,253761,Pennsylvania,289,"12,951,275","46,054"
21,5,Illinois,state,IL,123142,123241,123454,123956,124552,125221,125947,126980,128195,129597,130667,131517,132127,132738,133400,134075,134878,135724,136598,137666,138893,140304,141381,142177,142727,143371,144152,144882,145656,146419,147337,148504,149796,151187,152153,152987,153649,154476,155264,156138,156955,157757,158518,159598,160923,162393,163511,164381,165172,166034,166923,167914,169024,170306,171543,172909,174236,175676,176909,178114,179127,180240,181361,182591,183848,185116,186330,187669,189205,190876,192207,193341,194333,195419,196529,197524,198532,199261,199817,200231,200564,200828,201064,201382,201872,202363,202755,202938,202958,202841,202574,202234,201695,201094,200469,199727,198918,197324,196577,195185,194695,193082,192035,190074,188406,186143,184023,181532,178848,176708,174622,173304,171741,170493,169269,168160,166646,165172,163731,162995,162277,161943,161158,161249,160931,161226,160074,159056,157447,156142,154360,152618,151052,149821,148929,147869,147062,146034,145406,144529,143681,142268,141113,139689,138755,137851,137335,136894,136586,136608,136843,136970,137024,136851,136548,136245,136276,136785,137547,138594,139492,140593,141491,142672,143747,145119,146306,147426,148242,149123,149890,150674,151483,152347,153305,154096,154674,155021,155348,155703,155926,155946,156173,156556,157283,157880,158518,159088,159749,160669,161545,162395,163212,164093,164701,165261,165808,166479,166781,166977,167143,167658,168307,169223,170157,171179,172271,173137,173771,173963,174107,174294,174888,175704,176718,177730,178807,179744,180861,181695,182343,182301,182356,182288,182427,182405,182557,182931,183718,184871,185956,186772,187136,187323,187222,187122,186867,186935,187251,187932,188892,190009,191102,191890,191993,191699,191425,191907,193439,195513,197965,200262,202538,205022,207555,209941,212087,214324,216228,217337,217483,217639,218313,219688,222104,225447,229467,233226,235753,237470,237822,237361,236109,235271,234802,234548,234044,233826,234210,235524,237339,239416,241358,243268,244728,245903,246735,247355,247808,Illinois,225,"12,516,863","57,914"
44,6,Ohio,state,OH,101855,101917,102012,102289,102713,103238,103757,104261,104757,105236,105704,106149,106562,106891,107197,107499,107827,108150,108511,108911,109319,109710,110064,110384,110655,110877,111090,111306,111562,111848,112183,112531,112882,113234,113599,113961,114292,114595,114870,115155,115460,115826,116245,116736,117237,117726,118135,118499,118807,119119,119437,119749,120077,120419,120804,121165,121513,121842,122176,122490,122824,123178,123540,123883,124177,124472,124749,125050,125339,125633,125923,126187,126401,126574,126731,126897,127067,127220,127356,127444,127475,127456,127377,127247,127106,127016,126892,126753,126590,126443,126246,126013,125833,125624,125281,124848,124383,123935,123569,123251,122994,122702,122418,122078,121673,121144,120613,119981,119252,118453,117731,117222,116863,116548,116172,115764,115387,115117,114848,114619,114400,114348,114324,114364,114361,114308,114064,113701,113219,112677,112040,111347,110696,110090,109610,109116,108630,108157,107820,107568,107306,106991,106657,106362,106017,105795,105795,105989,106243,106397,106544,106534,106592,106647,106746,106807,106930,107135,107532,108090,108817,109464,109972,110435,110811,111178,111253,111325,111295,111402,111543,111928,112597,113316,113966,114348,114543,114453,114417,114550,114880,115238,115652,116174,116834,117469,118128,118822,119475,120085,120454,120916,121539,122320,122802,123102,123295,123678,123924,124191,124514,125032,125592,126189,126760,127275,127791,128362,128940,129524,130126,130765,131339,131946,132654,133390,134014,134542,135348,136234,137176,137807,138505,139169,139938,140540,141251,141967,142815,143777,144749,145491,145955,146399,146899,147366,147757,148293,149086,149958,150934,151923,152995,153968,154591,155026,155657,156958,159024,161558,164348,166965,169260,171419,173641,176032,178541,181121,182937,183555,183120,182856,183225,184047,186043,188954,192493,195793,198481,200952,202334,202816,202432,202162,202080,201973,201352,200992,201251,202556,204430,206529,208438,209954,211084,211880,212493,212916,213323,Ohio,289,"11,812,173","44,826"
16,7,Georgia,state,GA,121033,121308,121625,122292,123029,123809,124598,125431,126283,127169,128046,128975,129876,130652,131314,131925,132600,133273,133945,134627,135307,135979,136588,137156,137639,138105,138528,138979,139440,139912,140357,140785,141224,141685,142104,142458,142758,143034,143334,143635,143934,144217,144501,144849,145226,145605,145941,146289,146590,146892,147185,147579,148016,148456,148880,149367,149898,150467,150966,151403,151739,152053,152375,152829,153391,154032,154634,155217,155799,156382,156949,157481,158001,158524,159022,159528,160010,160534,161086,161656,162166,162615,162949,163313,163649,164017,164370,164741,165059,165273,165375,165412,165303,165089,164695,164288,163675,162987,162152,161434,160746,160023,159159,158161,157099,155916,154442,152665,150856,149234,147775,146225,144607,143058,141749,140632,139581,138540,137614,136877,136190,135599,135125,134911,134732,134442,133733,132715,131359,130055,128715,127486,126266,125246,124214,123037,121596,120180,118987,118147,117587,117159,116799,116206,115703,115318,115433,115752,116224,116803,117431,117821,118183,118451,118890,119315,119840,120527,121567,122874,124501,126160,127773,129284,130581,131910,132972,134133,135186,136363,137455,138575,139722,140682,141513,142169,142760,143210,143744,144315,144882,145436,146057,146834,147692,148553,149501,150484,151526,152524,153415,154312,155304,156279,156972,157684,158376,159125,159538,159886,160384,161136,162052,163030,163964,164942,165938,166983,167879,168711,169608,170574,171619,172734,174053,175569,177072,178493,179909,181158,182354,183263,184442,185646,187079,188281,189581,190919,192343,193643,194798,195748,196528,197200,197881,198669,199399,200333,201481,202897,204430,205959,207407,208555,209117,209480,210197,211843,214477,217721,221357,224974,228597,232370,236326,240459,244919,249753,254141,257606,260317,263487,267514,272127,278038,284605,291468,297651,302913,307504,310253,311307,310868,310141,309246,308151,306861,306016,306122,307028,308508,310168,311835,313487,314930,316112,316983,317554,317981,Georgia,194,"11,145,304","59,425"
36,8,North Carolina,state,NC,125380,125571,125768,126194,126669,127174,127667,128132,128586,129066,129606,130180,130772,131214,131571,131835,132142,132451,132746,133082,133425,133803,134098,134356,134573,134756,134930,135045,135223,135410,135665,135918,136173,136425,136657,136894,137124,137334,137530,137696,137890,138084,138322,138617,138934,139251,139535,139845,140161,140478,140761,141055,141349,141707,142086,142500,142943,143424,143918,144407,144786,145193,145574,146079,146618,147279,148011,148810,149592,150412,151187,151941,152641,153331,154073,154864,155725,156583,157458,158357,159226,160023,160689,161287,161892,162468,163113,163778,164498,165194,165793,166334,166759,167094,167341,167501,167608,167672,167751,167793,167745,167520,167139,166695,166222,165740,165135,164411,163614,163015,162540,162054,161416,160694,159978,159168,158430,157815,157399,157006,156643,156248,155933,155788,155736,155604,155198,154620,153956,153299,152626,151975,151300,150663,150009,149306,148618,147990,147439,146881,146386,145826,145269,144732,144316,144137,144215,144517,144873,145154,145397,145429,145474,145461,145463,145401,145349,145457,145689,146039,146553,147192,147846,148470,148972,149482,149740,149970,150202,150683,151199,151738,152303,152781,153183,153393,153552,153549,153690,153975,154463,155008,155537,156097,156715,157336,157993,158677,159416,160216,160908,161700,162599,163513,164072,164527,164936,165548,166052,166721,167549,168590,169611,170578,171426,172179,172897,173779,174641,175536,176376,177295,178212,179190,180312,181499,182643,183679,184813,185812,186749,187493,188424,189385,190417,191279,192251,193281,194414,195475,196568,197557,198416,199132,199847,200638,201396,202405,203683,205091,206405,207688,209122,210502,211414,212085,213091,215008,217893,221310,224981,228618,232073,235634,239273,243224,247668,252679,257335,260772,263027,265165,267933,271041,275516,280974,287545,294232,300462,306005,309486,310903,310562,309972,309282,308393,307026,306039,306004,307020,308609,310492,312260,313999,315427,316544,317500,317986,318266,North Carolina,226,"10,975,017","53,819"
30,9,Michigan,state,MI,112334,112396,112622,113074,113739,114470,115322,116183,117006,117774,118569,119395,120176,120779,121272,121704,122228,122763,123318,123906,124545,125192,125779,126323,126884,127365,127788,128098,128415,128765,129106,129489,129854,130282,130693,131110,131501,131841,132048,132239,132572,133042,133541,134040,134575,135186,135737,136258,136747,137134,137506,137774,138119,138486,138919,139367,139806,140279,140711,141127,141548,141890,142205,142461,142771,143017,143195,143388,143626,143888,144105,144315,144533,144735,144850,144833,144703,144487,144238,143943,143618,143247,142823,142307,141711,141113,140481,139854,139104,138401,137557,136820,135892,134958,133916,132994,132051,130963,129647,128115,126619,125160,123687,121942,120244,118774,117445,115879,113934,111919,109967,108289,106817,105470,104338,103251,102293,101225,100287,99445,98902,98386,98058,97916,98036,98231,98163,97859,97266,96578,95755,94970,94161,93480,92876,92314,91809,91314,90960,90793,90745,90695,90546,90357,90213,90292,90554,91074,91766,92556,93340,93916,94593,95303,95990,96604,97215,97924,98852,99961,101293,102721,104099,105627,106981,108275,109076,109760,110447,111370,112207,113155,114096,115165,116171,116965,117520,117671,117871,118151,118651,119199,119956,120880,121934,122871,123661,124395,125124,125878,126500,127171,128030,128939,129569,130213,130910,131807,132322,132784,133257,133943,134736,135645,136633,137609,138627,139610,140581,141514,142477,143300,144033,144725,145611,146560,147613,148604,149895,151072,152247,153021,153964,154624,155246,155347,155690,156259,157344,158685,160136,161418,162410,163137,163499,163642,163672,164133,164926,165740,166632,167771,169157,170460,171094,171311,171552,172493,174500,176964,179768,182324,184952,187828,190883,194022,197238,200569,203074,204160,203973,203714,204042,204865,206943,210149,214193,218109,221080,223339,223896,223252,221763,220759,220020,219491,219098,219104,219687,220803,222424,224076,225360,226518,227418,228134,228561,228814,229142,Michigan,178,"10,041,241","96,714"
