Date,HomeValue
1/31/2000,118650
2/29/2000,118859
3/31/2000,119118
4/30/2000,119673
5/31/2000,120312
6/30/2000,120997
7/31/2000,121723
8/31/2000,122506
9/30/2000,123321
10/31/2000,124139
11/30/2000,124952
12/31/2000,125767
1/31/2001,126516
2/28/2001,127178
3/31/2001,127817
4/30/2001,128508
5/31/2001,129254
6/30/2001,130019
7/31/2001,130806
8/31/2001,131628
9/30/2001,132458
10/31/2001,133284
11/30/2001,134054
12/31/2001,134776
1/31/2002,135415
2/28/2002,136025
3/31/2002,136648
4/30/2002,137325
5/31/2002,138073
6/30/2002,138884
7/31/2002,139772
8/31/2002,140721
9/30/2002,141682
10/31/2002,142641
11/30/2002,143555
12/31/2002,144445
1/31/2003,145250
2/28/2003,146021
3/31/2003,146791
4/30/2003,147629
5/31/2003,148552
6/30/2003,149509
7/31/2003,150516
8/31/2003,151585
9/30/2003,152717
10/31/2003,153859
11/30/2003,154921
12/31/2003,155920
1/31/2004,156873
2/29/2004,157892
3/31/2004,159015
4/30/2004,160272
5/31/2004,161686
6/30/2004,163227
7/31/2004,164887
8/31/2004,166571
9/30/2004,168234
10/31/2004,169827
11/30/2004,171322
12/31/2004,172796
1/31/2005,174221
2/28/2005,175676
3/31/2005,177176
4/30/2005,178866
5/31/2005,180662
6/30/2005,182542
7/31/2005,184437
8/31/2005,186353
9/30/2005,188238
10/31/2005,190023
11/30/2005,191652
12/31/2005,193124
1/31/2006,194385
2/28/2006,195556
3/31/2006,196736
4/30/2006,198003
5/31/2006,199253
6/30/2006,200357
7/31/2006,201221
8/31/2006,201886
9/30/2006,202321
10/31/2006,202629
11/30/2006,202790
12/31/2006,202887
1/31/2007,202923
2/28/2007,202961
3/31/2007,202989
4/30/2007,203017
5/31/2007,202927
6/30/2007,202670
7/31/2007,202192
8/31/2007,201627
9/30/2007,200953
10/31/2007,200228
11/30/2007,199359
12/31/2007,198441
1/31/2008,197388
2/29/2008,196228
3/31/2008,194925
4/30/2008,193517
5/31/2008,192053
6/30/2008,190514
7/31/2008,188875
8/31/2008,187058
9/30/2008,185220
10/31/2008,183426
11/30/2008,181670
12/31/2008,179929
1/31/2009,178231
2/28/2009,176784
3/31/2009,175456
4/30/2009,174205
5/31/2009,172940
6/30/2009,171748
7/31/2009,170669
8/31/2009,169670
9/30/2009,168753
10/31/2009,168004
11/30/2009,167580
12/31/2009,167391
1/31/2010,167329
2/28/2010,167261
3/31/2010,167258
4/30/2010,167359
5/31/2010,167417
6/30/2010,167279
7/31/2010,166756
8/31/2010,165984
9/30/2010,165027
10/31/2010,164038
11/30/2010,163033
12/31/2010,162099
1/31/2011,161233
2/28/2011,160431
3/31/2011,159668
4/30/2011,158869
5/31/2011,158028
6/30/2011,157203
7/31/2011,156508
8/31/2011,155924
9/30/2011,155423
10/31/2011,154930
11/30/2011,154511
12/31/2011,154147
1/31/2012,153925
2/29/2012,153907
3/31/2012,154111
4/30/2012,154460
5/31/2012,154888
6/30/2012,155400
7/31/2012,155958
