RegionID,SizeRank,MSAName,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,city,state_id,state_name,lat,lng,population,density
394913,1,New York,"New York,NY",city,NY,213396,214302,215218,217072,218993,221122,223448,225925,228461,230990,233441,235757,237963,240225,242420,244640,246822,249172,251566,254138,256791,259649,262402,265050,267674,270190,272581,274853,277220,279900,282864,286438,290324,294294,297971,301579,305172,308773,312512,316081,319691,323260,327000,330722,334218,337486,340537,343464,346583,349699,352923,356071,359675,363654,368100,372706,377483,382275,386878,391153,395165,399063,403023,407533,412421,417373,422069,426709,431398,436184,440601,444862,448655,452429,455651,458552,461059,463400,465111,465952,465872,464976,463600,461979,460431,459245,458980,458806,458640,457530,455972,454284,452474,451128,449772,448458,447215,445891,444185,442226,439435,436584,433448,430514,427489,424233,420821,417546,414150,410853,407671,404566,401887,399207,396704,394048,391846,390142,389052,388373,388133,388293,388257,388251,388077,388451,388869,389060,388628,387511,385959,384094,382651,381521,380883,379946,378868,377344,375791,374208,372674,371131,369485,367983,366603,365753,365696,366204,367048,367530,367880,367788,367903,367858,368011,368058,368745,369676,370717,371647,372789,374352,376047,377965,379903,381887,383334,384320,385471,387177,389649,392343,394994,396772,397741,398189,398951,399894,401114,401923,402439,402634,403096,403695,404892,406053,407407,409136,411640,414550,417146,419394,421110,422426,423139,424099,425342,426929,428142,428755,429107,429857,431367,433818,436230,438743,441051,443962,446516,448707,450245,451813,453382,455150,456677,458390,460090,461613,463376,465222,467759,469922,472285,474261,476066,477069,477933,478536,479556,481094,483057,485196,486616,487867,488549,489030,488766,488800,489756,491387,493788,495994,498532,500840,502669,503005,502103,501429,503076,506727,512011,518216,524121,530295,536025,541769,547307,552274,556415,558907,560428,562575,566019,569902,574031,578575,584771,591290,597868,603886,607716,608428,605956,603426,601430,600020,599211,597871,598183,600165,604144,608261,611817,615075,617767,620084,622367,625096,627944,New York,NY,New York,40.6943,-73.9249,18908608,11080.3
753899,2,Los Angeles,"Los Angeles, CA",city,CA,220076,220895,221986,224157,226530,228888,231304,233743,236041,238093,239948,241804,243156,244628,246300,248758,251325,253778,256242,258706,261170,263557,265682,267796,269470,271420,273836,277106,280871,284829,289566,294605,299730,304420,308946,313370,317105,320603,324385,328785,334041,338731,344186,349961,356538,362431,367995,373443,379407,386176,393962,403112,413986,425256,435765,444799,453345,461579,467749,473395,478277,484398,491133,498352,505332,511971,519401,527537,536043,544760,551574,557982,563454,568531,573169,577255,581747,585505,587302,588783,588097,588033,587255,587073,587104,586836,585910,584218,581167,577900,572803,567033,560153,553252,547524,541187,535110,526961,517559,505410,492131,479274,467391,456883,448831,441581,434171,424973,417207,412135,408620,405523,402460,398984,396148,394170,393622,393877,395809,399474,401772,402084,402315,404270,407152,407366,405607,401992,398233,394458,390918,388987,387919,387839,386637,385075,381255,379186,377667,375934,372565,368913,367511,367215,366695,365136,362640,360377,359292,359685,361576,365592,371321,378123,385219,392221,397708,401233,403226,406221,411409,418388,426064,434055,442548,451086,458345,464130,467184,468569,469033,470634,472776,474796,476699,479267,483688,488864,494455,499331,502702,504454,504827,504973,505600,506848,507584,506451,503564,500137,496518,493168,495677,504298,516226,525264,530909,535471,536041,532628,526166,521618,520590,522372,530137,541617,555033,564699,571294,576220,577328,577201,576877,580167,584251,589208,595705,603617,611132,616854,621441,624884,628487,633907,641141,648825,654265,657165,654760,648488,640850,635982,633502,632247,633068,636817,642979,649576,655587,661041,664246,665770,666533,667493,666558,663745,663430,668448,679206,692083,706345,719950,729114,734830,738007,744787,754398,766276,777946,786874,793794,800478,808789,818774,830778,844979,860941,875419,886800,893217,895037,891975,886336,881093,877364,874253,865994,855141,845420,843053,846819,854579,865736,879234,892862,904202,912735,918094,918247,Los Angeles,CA,California,34.1141,-118.4068,11922389,3184.7
394463,3,Chicago,"Chicago, IL",city,IL,148207,148344,148605,149255,150037,150915,151849,153167,154714,156497,157849,158954,159752,160534,161357,162230,163280,164374,165448,166774,168261,170014,171314,172319,172973,173753,174670,175546,176494,177452,178605,180065,181659,183368,184523,185550,186360,187379,188346,189448,190472,191455,192341,193594,195127,196832,198158,199212,200184,201212,202245,203421,204733,206293,207780,209475,211125,212940,214482,216000,217289,218734,220189,221801,223460,225177,226798,228540,230466,232573,234232,235647,236826,238118,239455,240678,241937,242814,243479,243944,244310,244592,244836,245193,245755,246359,246852,247041,246965,246688,246243,245719,244911,244030,243158,242171,241143,239075,238193,236411,235849,233742,232466,229970,227907,225017,222299,219047,215409,212529,209718,208122,206177,204716,203177,201785,199789,197862,195943,194986,194055,193708,192738,192888,192437,192795,191272,189958,187852,186177,183837,181568,179502,177872,176754,175474,174638,173465,172818,171781,170774,168961,167533,165693,164497,163236,162483,161797,161226,161078,161203,161286,161293,161106,160788,160644,161017,162087,163281,164821,166154,167829,169231,170870,172398,174242,175994,177707,179071,180444,181723,182894,184057,185021,185998,186729,187337,187826,188343,188872,189344,189648,190173,190688,191542,192232,193009,193668,194446,195513,196634,197787,198920,200081,200855,201581,202212,202974,203387,203757,204177,204947,205850,207044,208279,209625,211133,212404,213418,213779,213998,214179,214842,215773,216927,218149,219516,220827,222342,223526,224452,224555,224595,224514,224610,224747,225046,225616,226476,227643,228746,229628,230029,230231,230055,229846,229406,229298,229490,230102,231195,232497,233863,234717,234807,234360,233898,234215,235742,238116,241057,243981,246888,250045,253326,256476,259364,262148,264472,265833,266088,266229,266879,268310,270851,274553,279170,283636,286750,288854,289365,288767,287138,285829,285080,284672,284082,283933,284559,286201,288329,290816,293284,295667,297443,298765,299651,300266,300906,Chicago,IL,Illinois,41.8375,-87.6866,8497759,4614.5
394514,4,Dallas,"Dallas, TX",city,TX,124266,124321,124385,124550,124768,124989,125220,125566,126000,126494,126959,127406,127634,127447,127173,127018,127129,127227,127325,127572,127814,128025,128112,128214,128294,128479,128759,129217,129700,130327,130946,131580,132091,132526,132910,133248,133491,133628,133774,133959,134149,134355,134479,134646,134824,135063,135269,135322,135784,136848,140519,140519,141786,142453,142799,143208,143604,144003,144298,144513,145011,145326,145591,145728,146051,146470,146787,147109,147447,147572,147697,147657,147628,147741,147921,148364,148925,149538,149964,150193,150445,151054,151578,152098,152004,151656,151180,151158,151457,151852,152238,152645,153178,153575,153842,154047,153486,152487,151119,150291,149741,149394,149208,148792,148089,147135,146281,145657,145198,145102,145153,145348,145511,145533,145581,145447,145398,145327,145658,146022,146114,145971,145744,145875,145979,146055,145715,145083,144211,143367,142508,141917,141471,141002,140503,139849,139366,138839,138640,138500,138521,138452,138330,138036,137764,137928,138392,139014,139576,140279,141089,141781,142473,143239,144095,144835,145626,146518,147439,148235,149133,150299,151520,152604,153544,154605,155691,156798,157926,159067,160145,161003,161892,162868,164074,165176,166215,167056,168167,169352,170776,172264,173736,175090,176507,178068,179866,181672,183563,185443,187305,189148,191096,193106,194860,196651,198358,200180,201737,203186,204772,206471,208394,210233,212096,213856,215738,217784,219714,221483,222840,224128,225468,226985,228653,230463,232324,234117,235928,237542,239060,240093,241156,241955,242682,243108,243582,244269,245166,246138,246974,247433,247622,247681,247775,248010,248382,249055,250006,251184,252676,254191,255632,256390,256381,256170,256522,257913,260329,263343,266869,270432,274199,278186,282628,287539,293197,299120,304487,308646,311900,315362,319634,324537,331351,339529,348811,357979,366279,373394,377302,377951,376287,374269,372397,370448,367938,365700,364182,363637,363919,364728,365693,366604,367014,367127,366990,366668,366689,Dallas,TX,Texas,32.7935,-96.7667,5830932,1478.7
394692,5,Houston,"Houston, TX",city,TX,120190,120213,120129,120179,120225,120411,120593,120876,121244,121552,122033,122531,122777,122734,122326,122082,122007,122136,122310,122318,122414,122573,122798,122964,123038,123124,123442,123971,124568,125108,125638,126263,126838,127318,127674,127967,128252,128471,128740,128989,129256,129490,129731,130003,130219,130444,130634,130873,131208,131954,133277,134549,135826,136486,137371,138027,138839,139571,140274,141038,141700,142307,142768,143178,143419,143644,143780,143854,143861,143817,143948,144066,144192,144145,144206,144422,144944,145454,146007,146542,147173,147891,148561,149262,149709,149814,149666,149747,150109,150682,151109,151566,151945,152311,152582,152860,152636,152233,151707,151508,151267,150974,150690,150198,149528,148844,148046,147194,146305,145957,145860,145970,146142,146500,146978,147230,147190,146890,146815,146947,147011,147094,147329,147761,148108,148067,147487,146442,145406,144576,144008,143513,143001,142418,141639,140940,140360,139980,139780,139710,139598,139401,138775,138217,137945,138134,138350,138438,138447,138648,139006,139470,139868,140185,140532,140830,141215,141764,142625,143609,144779,146137,147568,149022,150279,151670,152972,154316,155608,157004,158488,159902,161337,162686,164238,165784,167307,168626,170109,171689,173465,175129,176769,178236,179630,180948,182236,183508,184639,185685,186603,187581,188698,189776,190499,191093,191662,192363,192829,193190,193687,194333,195163,195913,196543,196951,197489,198238,198923,199515,199842,200254,200664,201292,202013,202797,203497,204036,204762,205544,206517,207333,208254,209034,209816,210465,211182,211948,212747,213576,214364,214951,215392,215697,216008,216366,216824,217444,218295,219218,220170,221001,221797,222290,222289,222248,222640,223782,225519,227647,230238,232843,235553,238286,241320,244602,248407,252576,256425,259405,261641,264113,267228,270738,275236,280328,286265,291967,297186,301638,304636,305931,305845,305328,304707,303538,301785,300120,298980,298534,298688,299487,300404,301273,301627,301653,301370,300961,300955,Houston,TX,Texas,29.786,-95.3885,5970127,1384
395209,6,Washington,"Washington, DC",city,DC,177074,177218,177483,178084,178998,180097,181465,182989,184555,186124,187662,189355,190868,192212,193576,195304,197364,199562,201832,204166,206467,208659,210822,212959,214879,216631,218448,220658,223269,226175,229355,232713,235983,239006,241695,244255,246483,248858,251370,254268,257285,260487,263845,267205,270603,274005,277254,280273,283003,286074,289551,293841,298880,304725,311481,318443,325439,331373,336491,341327,346497,351711,357128,363439,370885,378591,385999,392640,398933,404579,409274,413436,416955,420397,423868,427022,429607,431042,431808,431796,430371,427911,425587,423932,422588,421278,420067,419329,418303,416307,413529,410397,407609,404433,400952,396916,392999,388830,384104,378845,372903,367089,361181,355591,349909,344659,340054,336140,332099,328115,324299,321067,318852,317316,316031,314541,312818,311569,311156,311795,313127,314113,315231,316427,317945,318608,318262,317109,315876,314698,313402,312355,311780,312116,312427,312591,312049,311629,310809,309922,308663,307641,307369,307358,307524,307978,308995,310719,312363,314312,316024,317976,320201,322686,325210,327205,329097,331097,333081,335127,337223,339749,342110,344391,346650,349143,351511,353552,355141,356629,358106,359802,361125,362004,362301,362390,362857,363475,364284,364735,365251,365951,366816,367295,367462,367523,368002,368734,369787,371087,372444,373687,375038,376123,376618,376561,376450,376659,376837,376921,377189,378225,379914,381961,383827,385704,387350,388793,389515,389801,389774,390058,390929,392311,393843,395523,397219,398776,400345,401520,402714,403266,404283,405216,406396,407306,408229,409132,410047,411390,413254,415286,416608,417339,417720,418310,418914,419889,421324,423321,425806,428503,431251,433534,434663,434899,435381,437500,441631,446932,452773,458317,463331,468486,474197,480610,487114,492791,496261,497473,496910,496783,497570,499692,503576,509458,517294,525031,531438,535038,534996,531850,527347,524267,522599,521946,521185,520925,521055,522560,525080,528667,531981,534671,536381,537501,538149,538701,539115,Washington,DC,District of Columbia,38.9047,-77.0163,5116378,4235.7
394974,7,Philadelphia,"Philadelphia, PA",city,PA,118647,118910,119090,119534,119964,120482,121021,121602,122238,122897,123510,124051,124565,125118,125723,126359,126994,127685,128488,129395,130372,131303,132243,133032,133798,134507,135318,136232,137218,138359,139608,141131,142786,144468,145956,147393,148734,150037,151243,152551,154028,155715,157585,159569,161571,163430,165152,166638,168030,169343,170755,172332,174255,176581,179270,182191,184900,187221,189163,191128,193219,195140,196938,198759,201035,203741,206696,209614,212280,214825,217097,219189,220830,222330,223769,225382,227057,228740,230236,231346,231981,232309,232379,232271,232016,231906,232196,232643,233326,233840,234232,234109,233659,233227,232832,232387,231620,231153,230931,230952,230497,229632,228329,226844,225146,223443,221877,220449,219127,218113,217539,217209,216760,216131,215262,214371,213427,212860,212651,212637,212742,212792,212918,213083,213347,213588,213450,212728,211410,209783,208072,206589,205418,204623,203980,203156,202012,200663,199375,198283,197209,196189,195249,194495,193777,193262,193114,193266,193333,193231,193019,192628,192318,191909,191699,191679,191968,192353,192780,193277,193951,194594,194982,195316,195643,196240,196841,197470,198068,198457,198752,199012,199602,200040,200444,200558,200602,200430,200353,200500,200848,201294,201802,202290,202876,203371,204113,204988,205950,206678,207108,207611,208334,209102,209488,209795,210227,210932,211600,212339,213064,213970,214791,215728,216412,217002,217547,218424,219399,220358,221000,221519,222115,222933,224008,225115,226177,227143,228302,229236,229892,230011,230252,230647,231294,231917,232643,233384,234307,235400,236582,237569,238210,238845,239451,240062,240535,241172,242248,243464,245036,246786,248900,250899,252099,252554,252881,253923,256178,259343,263366,267550,271450,275209,278914,282594,286245,289823,292472,293687,293300,293019,293443,295002,298080,302319,307518,312639,317233,320886,322510,322397,321346,320965,321129,321427,321438,321575,322525,324415,327201,330114,332951,335556,337785,339441,340776,341926,343101,Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5683533,4578.4
394856,8,Miami,"Miami, FL",city,FL,111078,111383,111706,112358,112989,113613,114258,114920,115631,116345,117109,117925,118670,119422,120289,121339,122582,123881,125355,126972,128703,130490,132134,133676,135026,136288,137466,138765,140162,141637,143192,144904,146594,148223,149716,151462,153220,155034,156877,158880,160999,163001,164947,166899,168985,171076,173160,175063,177052,178954,181026,183206,185909,188958,192307,195839,199452,203040,206451,210034,213501,217158,221080,225459,230387,235700,241566,247416,253126,258260,262842,266958,270876,274413,278155,282739,287508,291846,294859,296927,298183,298711,299232,299398,299177,298597,297239,295372,292955,290254,287103,283591,279798,276354,272401,268465,263420,258494,252776,247504,242017,237077,231691,225807,219456,213016,206989,201551,196586,192219,187855,183793,179596,176000,172784,170064,167619,165747,164323,162982,162046,161514,161434,161236,160727,159675,158476,157142,155899,154309,152847,151522,150304,149180,148165,147420,146585,145646,144662,143944,143503,143318,143337,143406,143682,143842,143957,144059,144367,145168,146153,147239,148341,149491,150962,152754,155076,157537,160127,162648,165351,167966,170549,173066,175562,178100,180377,182604,184697,186873,189054,191234,193544,195547,197542,199287,201053,202615,204344,206197,208099,209794,211342,212911,214630,216329,218160,220034,222074,224155,226129,227818,229353,230849,232497,234186,235861,237605,239254,240817,242372,244186,245824,247068,248061,249498,251456,253404,254981,256463,257909,259508,261023,262646,264379,266403,268190,269558,270717,271844,273239,274492,276128,277614,279034,280251,281694,283334,284689,285817,286461,286818,286677,286606,286754,287266,287949,288996,290598,292584,294965,297119,298976,299914,299832,299386,299449,300791,303294,306411,310234,314156,318148,321949,325867,330049,335053,340956,346999,352274,356581,360721,365581,371149,378614,387376,397766,408507,418707,427878,434617,438753,440331,441201,442077,443221,443761,444008,444588,446125,448641,452151,455782,459415,462305,465122,467977,470620,472969,Miami,FL,Florida,25.784,-80.2101,6080145,4758.9
394347,9,Atlanta,"Atlanta, GA",city,GA,142398,142727,143113,143936,144855,145833,146809,147846,148906,150015,151031,152067,152968,153802,154513,155237,156013,156793,157575,158370,159170,159950,160666,161349,161935,162501,162983,163520,164026,164546,165010,165475,165942,166431,166867,167231,167523,167768,168038,168326,168637,168954,169265,169644,170029,170406,170717,171049,171281,171507,171709,172096,172522,172939,173329,173810,174336,174882,175325,175746,176146,176592,177026,177537,178146,178847,179491,180100,180695,181307,181903,182495,183054,183581,184026,184505,185003,185591,186257,186906,187444,187838,188107,188427,188701,189009,189338,189730,190129,190408,190595,190611,190378,189925,189218,188520,187471,186288,184867,183735,182750,181791,180643,179313,177874,176236,174130,171454,168622,165997,163704,161454,159281,157356,155857,154671,153535,152347,151300,150587,149921,149329,148811,148709,148687,148475,147441,145856,143740,141798,139898,138205,136534,135139,133736,132192,130203,128194,126498,125463,124997,124781,124546,123783,123140,122656,122878,123236,123698,124267,124960,125477,125990,126401,127043,127758,128608,129642,131119,133019,135397,137864,140235,142431,144324,146275,148014,149868,151505,153158,154727,156323,157933,159254,160407,161326,162198,162990,163934,164915,165860,166729,167635,168646,169762,170844,172037,173232,174512,175736,176931,178198,179634,181078,182238,183424,184535,185634,186319,186863,187610,188719,190126,191697,193148,194604,196022,197465,198714,199793,200876,201973,203150,204414,205965,207866,209848,211742,213547,215064,216503,217582,218996,220387,221987,223378,224857,226417,227993,229447,230673,231642,232401,232971,233540,234193,234874,235755,236946,238499,240315,242097,243697,244811,245189,245381,246005,247696,250444,253952,257991,262101,266295,270731,275455,280359,285664,291361,296665,301042,304767,309048,314253,320119,327282,335029,343294,350962,357704,363185,366226,366984,365956,364658,363293,361765,360096,358846,358526,358921,360162,361851,363773,365606,367178,368419,369348,370010,370547,Atlanta,GA,Georgia,33.7628,-84.422,5180179,1412.3
394404,10,Boston,"Boston, MA",city,MA,209891,210737,211663,213371,215206,217246,219856,223011,226474,230071,233649,237249,240464,243315,246040,248907,251788,254717,257766,261031,264310,267841,271295,274432,276849,278894,280953,283144,285401,287724,290257,293106,296317,300347,304453,308371,311451,314345,317304,320518,323679,326425,328333,330049,331907,334068,336336,338572,340822,343141,345543,348105,350570,352879,355195,357569,360450,363422,366381,368807,370915,373493,376157,379108,381692,383233,384121,384246,385086,385901,386656,386604,386294,385362,384520,383806,383125,382122,380008,377753,375016,372482,369783,367652,366159,365113,364387,363615,362806,361726,360438,359138,357840,356271,354509,352688,350923,348918,346975,345111,343514,341853,339957,337887,335485,332747,330052,327567,325628,323862,321829,320097,318990,318663,318494,318224,317872,317556,317551,318283,319468,320922,322124,323239,323998,324500,324444,324007,322621,321061,319539,318883,318403,317533,316139,314980,313983,313527,312690,311731,310267,308681,307144,305972,304994,304617,304782,305544,306792,308245,309824,311154,312347,313570,315122,317124,319464,321907,323572,325003,326493,328694,331031,333301,335605,338196,340894,343512,345865,347807,349538,351402,353453,354998,356102,356616,357519,358165,359486,361131,363604,366181,368579,370393,371927,373139,374535,376532,379215,382100,384745,387464,390269,392724,394583,396539,398618,400584,401934,402866,404249,406391,409423,412448,415152,417352,419896,422860,425945,428637,430920,432767,434893,436837,438928,440877,443187,445751,448752,451696,454787,457336,459911,461943,463680,464328,464608,464268,464109,464358,465283,466871,468067,469100,469537,469677,469546,470172,471683,473401,475728,478443,481902,484822,486601,487421,488260,490822,495755,502334,509894,517386,524102,530774,537566,545023,552771,559895,564524,565691,564593,563891,564697,566800,572060,580446,591920,602909,612378,619103,621603,619478,614180,609806,607375,606666,605455,604335,604539,607954,613672,620321,626749,632988,638458,642939,646290,648965,650890,Boston,MA,Massachusetts,42.3188,-71.0852,4328315,5319
